id,parent_id,category_id,zh,en,icon
cc,,license,CC,CC,
cc0,,license,CC0,CC0,
gpl,,license,GPL,GPL,
mit,,license,MIT,MIT,
mpl,,license,MPL,MPL,
wtfpl,,license,WTFPL,WTFPL,
cc_by,cc,license,CC BY,CC BY,
cc_by-nc,cc,license,CC BY-NC,CC BY-NC,
cc_by-nc-nd,cc,license,CC BY-NC-ND,CC BY-NC-ND,
cc_by-nc-sa,cc,license,CC BY-NC-SA,CC BY-NC-SA,
cc_by-nd,cc,license,CC BY-ND,CC BY-ND,
cc_by-sa,cc,license,CC BY-SA,CC BY-SA,
article,,media,文章,Article,file alternate
artwork,,media,視覺,Artwork,image
music,,media,音樂,Music,music
web,,media,網頁,Web,code
slides,,media,投影片,Slides,desktop
template,,media,模版,Template,file outline
video,,media,錄影,Video,video
animation,artwork,media,動畫,Animation,
design,artwork,media,設計,Design,
illustration,artwork,media,插畫,Illustration,
comic,artwork,media,漫畫,Comic,
infographic,artwork,media,圖解,Infographic,
jingle,music,media,Jingle,Jingle,
song,music,media,歌,Song,
content_site,web,media,內容網站,Content Site,
web_app,web,media,應用程式網站,Web App,
poc,web,media,概念實驗頁,Experimental Pages,
developing,,stage,開發中,Developing,
idea,,stage,靈感,Idea,
proto,,stage,雛形,Prototype,
online,,stage,已上線,Online,
revising,,stage,改版中,Revising,
discontinued,,state,棄坑,Discontinued,
finished,,state,已完成,Finished,
handling,,state,持續進行中,Handling,
labor,,subject,勞工,Labor,
media,,subject,媒體,Media,
gossip,media,subject,八卦,Gossip,
law,,subject,法律,Law,
sts,,subject,科技與社會,"Science, Technology and Society",
open_culture,,subject,開放文化,Open Culture,
open_gov,,subject,開放政府,Open Government,
participation,open_gov,subject,參與,Civic Participation,
transparency,open_gov,subject,透明,Transparency,
public_deliberation,participation,subject,公共審議,Public Deliberation,
open_data,transparency,subject,開放資料,Open Data,
acg,,subject,動漫,ACG,
manga,acg,subject,漫畫,Comic,
game,acg,subject,電動遊戲,Gaming,
anime,acg,subject,動畫,Anime,
formosa,,subject,福爾摩沙（台澎）,Formosa (Taiwan and Penghu),
language,,subject,語言,Language,
md_lang,language,subject,Mandarin,Taiwanese Mandarin,
tw_lang,language,subject,台語,Taiwanese,
education,,subject,教育,Education,
literature,,subject,文學,Literature,
it,,subject,資訊科技,Information Technology,
software,it,subject,軟體,Software,
hardware,it,subject,硬體,Hardware,
songwriting,,tool,寫歌,Song Writing,
web_dev,,tool,網站開發,Web Development,
garage_band,arrange,tool,GarageBand,GarageBand,
bootstrap,css_framework,tool,Bootstrap,Bootstrap,
semantic_ui,css_framework,tool,Semantic UI,Semantic UI,
sass,css_preprocessor,tool,Sass,Sass,
fire.app,dev_tool,tool,Fire.app,Fire.app,
git,dev_tool,tool,Git,Git,
gulp,dev_tool,tool,Gulp,Gulp,
sublime_text,dev_tool,tool,Sublime Text,Sublime Text,
webpack,dev_tool,tool,Webpack,Webpack,
gh_pages,dev_tool,tool,gh-pages,gh-pages,
css3,front-end_basic,tool,CSS3,CSS3,
es6_or_es2015,front-end_basic,tool,ES6 / ES2015,ES6 / ES2015,
html5,front-end_basic,tool,HTML5,HTML5,
jquery,js_lib,tool,jQuery,jQuery,
react,js_lib,tool,React,React,
react_router,js_lib,tool,React Router,React Router,
redux,js_lib,tool,Redux,Redux,
underscore,js_lib,tool,Underscore,Underscore,
arrange,songwriting,tool,編曲,Arranging,
compose,songwriting,tool,作曲,Composing,
lyric,songwriting,tool,作詞,Lyrics Writing,
vocal,songwriting,tool,主唱,Vocal,
handlebars,template_engine,tool,Handlebars,Handlebars,
jade,template_engine,tool,Jade,Jade,
jekyll,template_engine,tool,Jekyll,Jekyll,
slim,template_engine,tool,Slim,Slim,
project_management,web_dev,tool,專案管理,Project Management,
ui_design,web_dev,tool,使用者介面設計,UI Design,
web_front-end,web_dev,tool,網頁前端工程,Web Front-End,
web_planning_or_ux,web_dev,tool,網站企畫 / UX,Web Planning / UX,
css_framework,web_front-end,tool,CSS 框架,CSS Framework,
css_preprocessor,web_front-end,tool,CSS Preprocessors,CSS Preprocessors,
dev_tool,web_front-end,tool,開發工具,Dev Tool,
front-end_basic,web_front-end,tool,前端基礎,Front-End Basic,
js_lib,web_front-end,tool,JS 函式庫,JavaScript Library,
template_engine,web_front-end,tool,樣版引擎,Template Engine,
schema_design,web_planning_or_ux,tool,Schema 規劃,Schema Design,
visual_comm,,tool,視覺傳達,Visual Communication,
ai,graphic,tool,Adobe Illustrator,Adobe Illustrator,
ps,graphic,tool,Adobe Photoshop,Adobe Photoshop,
google_slides,graphic,tool,Google Slides,Google Slides,
ae,animate,tool,Adobe After Effect,Adobe After Effect,
premiere,animate,tool,Adobe Premiere,Adobe Premiere,
clip,graphic,tool,Clip Studio Art,Clip Studio Art,
graphic,visual_comm,tool,平面美術,2D Graphic,
animate,visual_comm,tool,動畫影片,Animation,
doc,,tool,文書處理,Documentation,
hackmd,doc,tool,HackMD,HackMD,
gitbook,doc,tool,GitBook,GitBook,
